Run Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Emission Reduction,0,0.052423583,0.104847167,0.15727075,0.209694334,0.262117917,0.314541501,0.366965084,0.419388668,0.471812251,0.524235835,0.576659418,0.629083002,0.681506585,0.733930169,0.786353752,0.838777336,0.891200919,0.943624502,0.956730398,0.960536813,0.969836294,0.98294219,0.993533232,0.996048086
Diesel,2.08,1.98,1.89,1.81,1.72,1.633333333,1.546666667,1.46,1.373333333,1.286666667,1.2,1.1,0.99,0.82,0.55,0,0,0,0,0,0,0,0,0,0
Biofuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.05,0,0,0,0,0,0,0
Methanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.43,0.8,1.36,1.66,1.77,0.91,0.4,0,0
Ammonia,0,0.08,0.17,0.26,0.34,0.426666667,0.513333333,0.6,0.686666667,0.773333333,0.86,0.96,1.07,1.24,1.52,1.92,1.55,1.19,0.62,0.16,0,0,0,0,0
Primary Al-Air,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0
Secondary Li-Ion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19
Secondary Iron-Air,0.07,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.16,0.16,0.16,0.22,0.37,0.42,1.28,1.79,2.19,0
Total Capacity,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19
Total Cost,193760.4136,202689.8167,211757.3344,220824.8521,229892.3698,238966.9684,248041.5669,257116.1655,266190.764,275265.3626,284339.9611,293543.9975,302978.3752,313196.2208,324923.0913,342567.627,370717.5224,398911.4789,447469.4896,483309.5197,498981.2377,735615.5273,1174080.49,1529259.22,4894515.324
