Run Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Emission Reduction,0,0.051713787,0.103427575,0.155141362,0.206855149,0.258568937,0.310282724,0.361996511,0.413710299,0.465424086,0.517137873,0.568851661,0.620565448,0.672279235,0.723993023,0.77570681,0.827420597,0.879134385
Diesel,2.039872669,2.026227643,1.928822931,1.83141822,1.734013508,1.636608796,1.539204085,1.441799373,1.344394662,1.24698995,1.149585238,0.963930254,0.532761544,0,0,0,0,0
Biofuel,0,0,0,0,0,0,0,0,0,0,0,0.162781435,0.588518667,1.043722007,0.913363198,0.665167778,0.249294755,0
Methanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053296195,0.180090546,0.306355006,0.434023951,0.700545512
Ammonia,0,0.044349461,0.141754173,0.239158884,0.336563596,0.433968308,0.531373019,0.628777731,0.726182442,0.823587154,0.920991866,0.943865415,0.943504195,0.942854467,0.946418924,1.056719372,1.335589703,0.884719824
Primary Al-Air,0.117648271,0.027508919,0.027508919,0.027508919,0.027508919,0.027508919,0.027508919,0.027508919,0.027508919,0.027508919,0.027508919,0.027508919,0.010209891,0,0,0,0,0
Secondary Li-Ion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Secondary Iron-Air,0.037016327,0.096451244,0.096451244,0.096451244,0.096451244,0.096451244,0.096451244,0.096451244,0.096451244,0.096451244,0.096451244,0.096451244,0.11954297,0.154664598,0.154664598,0.166295112,0.175628858,0.609271931
Total Capacity,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267
Total Cost,125890.6565,128014.8278,131147.0622,134279.2984,137411.5348,140543.772,143676.0095,146808.248,149940.4885,153072.7299,156204.9736,159401.1646,163696.4756,173697.9299,188206.1062,203832.9324,221216.6745,325784.519
