Run Number,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Emission Reduction,0,0.049986681,0.101794654,0.153602627,0.205410601,0.257218574,0.309026547,0.36083452,0.412642493,0.464450467,0.51625844,0.568066413,0.619874387,0.67168236,0.723490333,0.775298306,0.82710628,0.878914253,0.930722226,0.947991551,0.961675616,0.965260875,0.971402783,0.982523923
Diesel,2.045865221,2.006821811,1.9094171,1.812012388,1.714607676,1.617202965,1.519798253,1.422393542,1.32498883,1.227584119,1.130179407,0.9525208,0.533424386,0,0,0,0,0,0,0,0,0,0,0
Biofuel,0,0,0,0,0,0,0,0,0,0,0,0.148808738,0.563593816,1.015883912,0.886263582,0.649214594,0.23920682,0,0,0,0,0,0,0
Methanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049203031,0.175991982,0.302803807,0.429568974,0.705103609,0.486510264,0.486510264,0.486510264,0.486510264,0,0
Ammonia,0,0.037606614,0.135011325,0.232416037,0.329820749,0.42722546,0.524630172,0.622034883,0.719439595,0.816844306,0.914249018,0.943098887,0.942854467,0.941605931,0.944437309,1.049161486,1.31814251,0.866572922,0.299496014,0.163351936,0.056365757,0.028335108,0,0
Primary Al-Air,0.111436539,0.010209891,0.010209891,0.010209891,0.010209891,0.010209891,0.010209891,0.010209891,0.010209891,0.010209891,0.010209891,0.010209891,0,0,0,0,0,0,0,0,0,0,0,0
Secondary Li-Ion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.194537267
Secondary Iron-Air,0.037235507,0.139898951,0.139898951,0.139898951,0.139898951,0.139898951,0.139898951,0.139898951,0.139898951,0.139898951,0.139898951,0.139898951,0.154664598,0.187844394,0.187844394,0.19335738,0.207618963,0.622860736,1.408530989,1.544675067,1.651661246,1.679691895,2.194537267,0
Total Capacity,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267
Total Cost,101585.5258,102792.0626,105505.0867,108218.1124,110931.1385,113644.1653,116357.1924,119070.2201,121783.2499,124496.2806,127209.3137,130124.1116,133884.9577,141594.3063,152582.8678,164393.289,177567.5098,249673.2589,513638.6047,611924.1729,689831.7987,710243.7932,1529259.22,4894515.324
