Run Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Emission Reduction,0.093671611,0.193537966,0.293404683,0.3932714,0.493138026,0.593004743,0.69287146,0.792738177,0.892604893,0.917573395,0.94291336,0.942538261,0.967504945,0.98768083,0.992471619,0.992859454
Diesel,1.770425956,1.427330997,1.060525735,0.796517698,0.796517698,0.785079328,0.533782282,0,0,0,0,0,0,0,0,0
Biofuel,0.311115027,0.654209986,1.021015248,1.085758326,0.771677886,0.47214213,0.427452153,0,0,0,0,0,0,0,0,0
Methanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogen,0,0,0,0,0,0,0,0.050340048,0.786187217,0.98637419,1.330742233,1.322621659,0.944323851,0,0,0
Ammonia,0,0,0,0.18830108,0.50238152,0.813355646,1.109342669,1.977902107,1.240236309,1.040049336,0.653660062,0.661780636,0,0,0,0
Primary Al-Air,0.010209891,0.010209891,0.010209891,0.010209891,0.010209891,0.010209891,0.010209891,0,0,0,0,0,0,0,0,0
Secondary Li-Ion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.194451413,2.194537267
Secondary Iron-Air,0.102786393,0.102786393,0.102786393,0.113750272,0.113750272,0.113750272,0.113750272,0.166295112,0.168113741,0.168113741,0.210134972,0.210134972,1.250213416,2.194528943,0,0
Total Capacity,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194528943,2.194451413,2.194537267
Total Cost,174967.5177,185658.4879,196460.006,209361.4734,222828.5573,236302.6241,250463.8767,277075.7185,359901.4191,382271.2846,420069.6153,419208.5181,695000.9909,1529259.053,4894512.496,4894512.496
